"PLU";"Name";"VAT";"Stock group";"PriceType";"Price";"Single Sale";"Turnover";"Sold Qty";"Stock Qty";"Barcode1";"Barcode2";"Barcode3";"Barcode4";
"193";"CARNEX PASTETA JETRENA 50";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"194";"YUHOR CAJNA PASTETA 50";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"195";"YUHOR PASTETA U CREVU 150";"Ђ";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
"196";"SARDINA BEOGRAD 100";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"197";"SARDINA IL KAPITANO 0,125";"Ђ";"1";"1";"125.00";"0";"0";"0";"0";"0";"0";"0";"0";
"198";"TUNJEVINA KOMADICI";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"199";"TUNJEVINA KRUPNA";"Ђ";"1";"1";"180.00";"0";"0";"0";"0";"0";"0";"0";"0";
"200";"OSLIC SMRZNUTI";"Е";"1";"1";"440.00";"0";"0";"0";"0";"0";"0";"0";"0";
"201";"MAJONEZ TUBA 500";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"202";"MAJONEZ KESICA 90";"Ђ";"1";"1";"70.00";"0";"0";"0";"0";"0";"0";"0";"0";
"203";"KECAP TUBA 500";"Ђ";"1";"1";"200.00";"0";"0";"0";"0";"0";"0";"0";"0";
"204";"KECAP KESA 0,090";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"205";"SENF C 100";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"206";"DOBRO JUTRO ML MARGARIN";"Ђ";"1";"1";"165.00";"0";"0";"0";"0";"0";"0";"0";"0";
"207";"VITAL MARGARIN 250";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"208";"DOMACI CVARCI 200";"Ђ";"1";"1";"480.00";"0";"0";"0";"0";"0";"0";"0";"0";
"209";"KULEN GURME";"Ђ";"1";"1";"1150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"210";"CAJNA KOBASICA GURME";"Ђ";"1";"1";"1150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"211";"SREMSKA KOBASICA B DJOKIC";"Ђ";"1";"1";"1000.00";"0";"0";"0";"0";"0";"0";"0";"0";
"212";"PEKARSKA KOBASICA GURME";"Ђ";"1";"1";"500.00";"0";"0";"0";"0";"0";"0";"0";"0";
"213";"LOVACKA KOBASICA GURME";"Ђ";"1";"1";"400.00";"0";"0";"0";"0";"0";"0";"0";"0";
"214";"GRIL KOBASICA GURME";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"215";"HOD DOG VIRSLA DELIKATES GURME";"Ђ";"1";"1";"180.00";"0";"0";"0";"0";"0";"0";"0";"0";
"216";"POSEBNA MINI GURME 300";"Ђ";"1";"1";"120.00";"0";"0";"0";"0";"0";"0";"0";"0";
"217";"POSEBNA MINI YUHOR 350";"Ђ";"1";"1";"200.00";"0";"0";"0";"0";"0";"0";"0";"0";
"218";"MINI ALPSKA 300 GURME";"Ђ";"1";"1";"180.00";"0";"0";"0";"0";"0";"0";"0";"0";
"219";"MINI ALPSKA YUHOR 350";"Ђ";"1";"1";"240.00";"0";"0";"0";"0";"0";"0";"0";"0";
"220";"MINI SUNKA 300 GURME";"Ђ";"1";"1";"280.00";"0";"0";"0";"0";"0";"0";"0";"0";
"221";"PARISKA MINI 300";"Ђ";"1";"1";"130.00";"0";"0";"0";"0";"0";"0";"0";"0";
"222";"PIZZA SUNKA B DJOKIC";"Ђ";"1";"1";"750.00";"0";"0";"0";"0";"0";"0";"0";"0";
"223";"TOST NAREZAK B DJOKIC";"Ђ";"1";"1";"600.00";"0";"0";"0";"0";"0";"0";"0";"0";
"224";"ALPSKA SALAMA";"Ђ";"1";"1";"600.00";"0";"0";"0";"0";"0";"0";"0";"0";
"225";"PARIZER SA KACKAVALJEM MAK";"Ђ";"1";"1";"525.00";"0";"0";"0";"0";"0";"0";"0";"0";
"226";"ZANATSKA SLANINA RFZ";"Ђ";"1";"1";"1000.00";"0";"0";"0";"0";"0";"0";"0";"0";
"227";"SPIC REBRA RFZ";"Ђ";"1";"1";"950.00";"0";"0";"0";"0";"0";"0";"0";"0";
